time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,always,0.0000,0,0,0,0,2713
0.2,always,0.0000,0,0,0,0,2758
0.3,always,0.0000,0,0,0,0,2772
0.4,always,0.0000,0,0,0,0,2770
0.5,always,0.0000,0,0,0,0,2575
0.6,always,0.0000,0,0,0,0,3143
0.7,always,0.0000,0,0,0,0,2495
0.8,always,0.0000,0,0,0,0,2841
0.9,always,0.0000,0,0,0,0,2829
1.0,always,0.0000,0,0,0,0,2546
1.1,always,0.0000,0,0,0,0,2804
1.2,always,0.0000,0,0,0,0,3273
1.3,always,0.0000,0,0,0,0,2765
1.4,always,0.0000,0,0,0,0,2947
1.5,always,0.0000,0,0,0,0,3112
1.6,always,0.0000,0,0,0,0,2847
1.7,always,0.0000,0,0,0,0,2780
1.8,always,0.0000,0,0,0,0,2854
1.9,always,0.0000,0,0,0,0,2768
2.0,always,0.0000,0,0,0,0,2421
2.1,always,0.0000,0,0,0,0,2922
2.2,always,0.0000,0,0,0,0,2933
2.3,always,0.0000,0,0,0,0,3084
2.4,always,0.0000,0,0,0,0,2968
2.5,always,0.0000,0,0,0,0,3167
2.6,always,0.0000,0,0,0,0,3038
2.7,always,0.0000,0,0,0,0,3012
2.8,always,0.0000,0,0,0,0,2835
2.9,always,0.0000,0,0,0,0,2757
3.0,always,0.0000,0,0,0,0,2827
3.1,always,0.0000,0,0,0,0,2659
3.2,always,0.0000,0,0,0,0,2724
3.3,always,0.0000,0,0,0,0,2667
3.4,always,0.0000,0,0,0,0,2778
3.5,always,0.0000,0,0,0,0,3010
3.6,always,0.0000,0,0,0,0,2854
3.7,always,0.0000,0,0,0,0,3014
3.8,always,0.0000,0,0,0,0,2674
3.9,always,0.0000,0,0,0,0,2713
4.0,always,0.0000,0,0,0,0,2914
