time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,model,0.8600,34,98,99,0,2713
0.2,model,0.8586,38,98,99,0,2758
0.3,model,0.8533,35,98,99,0,2771
0.4,model,0.8601,35,98,99,0,2770
0.5,model,0.8601,35,98,99,0,2576
0.6,model,0.8498,32,98,99,0,3142
0.7,model,0.8606,34,98,99,0,2496
0.8,model,0.8577,36,98,99,0,2841
0.9,model,0.8502,34,98,99,0,2829
1.0,model,0.8621,33,98,99,0,2546
1.1,model,0.8577,35,98,99,0,2804
1.2,model,0.8458,33,98,99,0,3271
1.3,model,0.8557,34,98,99,0,2764
1.4,model,0.8510,34,98,99,0,2950
1.5,model,0.8472,33,98,99,0,3109
1.6,model,0.8517,32,98,99,0,2847
1.7,model,0.8596,34,98,99,0,2783
1.8,model,0.8554,35,98,99,0,2853
1.9,model,0.8546,34,98,99,0,2769
2.0,model,0.8634,36,98,99,0,2421
2.1,model,0.8525,36,98,99,0,2921
2.2,model,0.8545,34,98,99,0,2934
2.3,model,0.8514,32,98,99,0,3080
2.4,model,0.8560,35,98,99,0,2961
2.5,model,0.8491,33,98,99,0,3178
2.6,model,0.8490,32,98,99,0,3037
2.7,model,0.8504,33,98,99,0,3007
2.8,model,0.8604,37,98,99,0,2840
2.9,model,0.8568,33,98,99,0,2758
3.0,model,0.8568,36,98,99,0,2827
3.1,model,0.8599,37,98,99,0,2659
3.2,model,0.8598,36,98,99,0,2724
3.3,model,0.8610,36,98,99,0,2667
3.4,model,0.8622,35,98,99,0,2778
3.5,model,0.8508,35,98,99,0,3010
3.6,model,0.8538,35,98,99,0,2853
3.7,model,0.8489,32,98,99,0,3010
3.8,model,0.8631,37,98,99,0,2679
3.9,model,0.8544,34,98,99,0,2713
4.0,model,0.8510,33,98,99,0,2914
