time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,baseline,0.0130,0,0,69,0,2713
0.2,baseline,0.0130,0,0,90,0,2758
0.3,baseline,0.0190,0,22,92,0,2772
0.4,baseline,0.0100,0,0,53,0,2770
0.5,baseline,0.0160,0,0,96,0,2575
0.6,baseline,0.0220,0,26,82,0,3143
0.7,baseline,0.0170,0,0,67,0,2495
0.8,baseline,0.0170,0,0,74,0,2841
0.9,baseline,0.0120,0,0,57,0,2829
1.0,baseline,0.0180,0,13,91,0,2546
1.1,baseline,0.0100,0,0,79,0,2804
1.2,baseline,0.0120,0,0,91,0,3273
1.3,baseline,0.0120,0,0,84,0,2765
1.4,baseline,0.0130,0,22,82,0,2947
1.5,baseline,0.0140,0,0,45,0,3112
1.6,baseline,0.0090,0,0,81,0,2847
1.7,baseline,0.0170,0,17,83,0,2780
1.8,baseline,0.0150,0,0,95,0,2854
1.9,baseline,0.0140,0,9,78,0,2768
2.0,baseline,0.0180,0,0,71,0,2421
2.1,baseline,0.0120,0,0,83,0,2922
2.2,baseline,0.0130,0,0,36,0,2933
2.3,baseline,0.0180,0,11,77,0,3084
2.4,baseline,0.0100,0,0,75,0,2968
2.5,baseline,0.0110,0,0,77,0,3167
2.6,baseline,0.0090,0,0,85,0,3038
2.7,baseline,0.0150,0,0,50,0,3012
2.8,baseline,0.0120,0,0,58,0,2835
2.9,baseline,0.0120,0,0,78,0,2757
3.0,baseline,0.0180,0,0,73,0,2827
3.1,baseline,0.0120,0,0,88,0,2659
3.2,baseline,0.0240,0,4,81,0,2724
3.3,baseline,0.0160,0,0,63,0,2667
3.4,baseline,0.0160,0,0,79,0,2778
3.5,baseline,0.0170,0,0,92,0,3010
3.6,baseline,0.0170,0,0,90,0,2854
3.7,baseline,0.0170,0,0,76,0,3014
3.8,baseline,0.0140,0,8,74,0,2674
3.9,baseline,0.0150,0,0,78,0,2713
4.0,baseline,0.0200,0,0,88,0,2914
