time_s,policy,empty_polls,full_polls,packets,sleeps,skip_fraction,nanoseconds_per_inference,packets_missed
0.1,baseline,0,12836,410752,0,0.0000,11.65,0
0.2,baseline,1077,11902,380863,77,0.0059,11.61,0
0.3,baseline,996,0,0,996,1.0000,12.20,0
0.4,baseline,998,0,0,998,1.0000,11.42,0
0.5,baseline,997,0,0,997,1.0000,11.80,0
0.6,baseline,998,0,0,998,1.0000,11.75,0
0.7,baseline,997,0,0,997,1.0000,11.69,0
0.8,baseline,997,0,0,997,1.0000,11.65,0
0.9,baseline,997,0,0,997,1.0000,11.73,0
1.0,baseline,997,0,0,997,1.0000,11.46,0
1.1,baseline,998,0,0,998,1.0000,11.67,0
1.2,baseline,996,0,0,996,1.0000,15.57,0
1.3,baseline,997,0,0,997,1.0000,11.62,0
1.4,baseline,997,0,0,997,1.0000,11.55,0
1.5,baseline,997,0,0,997,1.0000,11.64,0
1.6,baseline,998,0,0,998,1.0000,11.75,0
1.7,baseline,997,0,0,997,1.0000,11.38,0
1.8,baseline,998,0,0,998,1.0000,11.36,0
1.9,baseline,997,0,0,997,1.0000,11.62,0
2.0,baseline,997,0,0,997,1.0000,11.43,0
2.1,baseline,998,0,0,998,1.0000,11.65,0
2.2,baseline,997,0,0,997,1.0000,11.56,0
2.3,baseline,997,0,0,997,1.0000,11.59,0
2.4,baseline,998,0,0,998,1.0000,11.67,0
2.5,baseline,996,0,0,996,1.0000,11.50,0
2.6,baseline,998,0,0,998,1.0000,11.61,0
2.7,baseline,998,0,0,998,1.0000,11.58,0
2.8,baseline,997,0,0,997,1.0000,11.58,0
2.9,baseline,997,0,0,997,1.0000,11.61,0
3.0,baseline,997,0,0,997,1.0000,11.47,0
3.1,baseline,998,0,0,998,1.0000,11.63,0
3.2,baseline,998,0,0,998,1.0000,11.55,0
3.3,baseline,998,0,0,998,1.0000,11.45,0
3.4,baseline,996,0,0,996,1.0000,11.60,0
3.5,baseline,997,0,0,997,1.0000,11.63,0
3.6,baseline,997,0,0,997,1.0000,27.93,0
3.7,baseline,997,0,0,997,1.0000,11.69,0
3.8,baseline,997,0,0,997,1.0000,11.63,0
3.9,baseline,997,0,0,997,1.0000,11.62,0
4.0,baseline,998,0,0,998,1.0000,11.40,0
4.1,baseline,998,0,0,998,1.0000,11.77,0
4.2,baseline,998,0,0,998,1.0000,11.63,0
4.3,baseline,996,0,0,996,1.0000,11.77,0
4.4,baseline,997,0,0,997,1.0000,11.73,0
4.5,baseline,997,0,0,997,1.0000,11.72,0
4.6,baseline,998,0,0,998,1.0000,11.61,0
4.7,baseline,997,0,0,997,1.0000,11.40,0
4.8,baseline,998,0,0,998,1.0000,11.55,0
4.9,baseline,998,0,0,998,1.0000,11.99,0
5.0,baseline,997,0,0,997,1.0000,11.59,0
5.1,baseline,998,0,0,998,1.0000,11.64,0
5.2,baseline,998,0,0,998,1.0000,11.50,0
5.3,baseline,997,0,0,997,1.0000,11.94,0
5.4,baseline,997,0,0,997,1.0000,11.38,0
5.5,baseline,996,0,0,996,1.0000,11.78,0
5.6,baseline,997,0,0,997,1.0000,11.63,0
5.7,baseline,998,0,0,998,1.0000,11.94,0
5.8,baseline,998,0,0,998,1.0000,11.46,0
5.9,baseline,998,0,0,998,1.0000,11.70,0
6.0,baseline,997,0,0,997,1.0000,11.59,0
6.1,baseline,998,0,0,998,1.0000,11.53,0
6.2,baseline,998,0,0,998,1.0000,11.48,0
6.3,baseline,998,0,0,998,1.0000,11.69,0
6.4,baseline,997,0,0,997,1.0000,11.61,0
6.5,baseline,998,0,0,998,1.0000,11.66,0
6.6,baseline,997,0,0,997,1.0000,11.68,0
6.7,baseline,997,0,0,997,1.0000,11.64,0
6.8,baseline,998,0,0,998,1.0000,11.38,0
6.9,baseline,993,0,0,993,1.0000,12.12,0
7.0,baseline,997,0,0,997,1.0000,11.61,0
7.1,baseline,998,0,0,998,1.0000,11.57,0
