time_s,policy,empty_polls,full_polls,packets,sleeps,skip_fraction,nanoseconds_per_inference,packets_missed
0.1,model,0,1992,63744,0,0.0000,47.83,0
0.2,model,0,1449,46368,0,0.0000,52.65,0
0.3,model,0,991,31712,0,0.0000,55.50,0
0.4,model,0,1233,39456,0,0.0000,50.80,0
0.5,model,0,901,28832,0,0.0000,56.67,0
0.6,model,0,1024,32768,0,0.0000,58.02,0
0.7,model,0,957,30624,0,0.0000,57.78,0
0.8,model,0,1162,37184,0,0.0000,47.51,0
0.9,model,0,901,28832,0,0.0000,62.35,0
1.0,model,0,908,29056,0,0.0000,60.87,0
1.1,model,0,1020,32640,0,0.0000,50.48,0
1.2,model,0,832,26624,0,0.0000,59.89,0
1.3,model,0,1075,34400,0,0.0000,54.39,0
1.4,model,0,934,29888,0,0.0000,62.18,0
1.5,model,0,1130,36160,0,0.0000,47.51,0
1.6,model,0,1179,37728,0,0.0000,53.45,0
1.7,model,0,1253,40096,0,0.0000,50.15,0
1.8,model,0,946,30272,0,0.0000,52.12,0
1.9,model,0,1061,33952,0,0.0000,56.29,0
2.0,model,0,1145,36640,0,0.0000,54.89,0
2.1,model,0,889,28448,0,0.0000,56.50,0
2.2,model,0,850,27200,0,0.0000,75.01,0
2.3,model,0,875,28000,0,0.0000,58.46,0
2.4,model,466625,31,991,474,0.0010,13.65,0
2.5,model,876787,0,0,0,0.0000,13.80,0
2.6,model,878295,0,0,0,0.0000,13.56,0
2.7,model,874411,0,0,0,0.0000,13.86,0
2.8,model,879168,0,0,0,0.0000,13.74,0
2.9,model,877157,0,0,0,0.0000,13.83,0
3.0,model,865228,0,0,0,0.0000,13.99,0
3.1,model,871878,0,0,0,0.0000,13.74,0
3.2,model,873097,0,0,0,0.0000,13.50,0
3.3,model,871686,0,0,0,0.0000,13.34,0
3.4,model,876485,0,0,0,0.0000,13.69,0
3.5,model,875882,0,0,0,0.0000,13.62,0
3.6,model,882923,0,0,0,0.0000,13.70,0
3.7,model,877187,0,0,0,0.0000,13.80,0
3.8,model,877354,0,0,0,0.0000,13.76,0
3.9,model,875869,0,0,0,0.0000,13.72,0
4.0,model,882466,0,0,0,0.0000,13.64,0
4.1,model,875065,0,0,0,0.0000,13.80,0
4.2,model,877388,0,0,0,0.0000,13.77,0
4.3,model,876922,0,0,0,0.0000,13.67,0
4.4,model,881522,0,0,0,0.0000,13.74,0
4.5,model,876652,0,0,0,0.0000,13.74,0
4.6,model,884445,0,0,0,0.0000,13.54,0
4.7,model,876160,0,0,0,0.0000,13.90,0
4.8,model,881676,0,0,0,0.0000,13.63,0
4.9,model,879273,0,0,0,0.0000,13.93,0
5.0,model,883890,0,0,0,0.0000,13.77,0
5.1,model,873028,0,0,0,0.0000,14.05,0
5.2,model,875025,0,0,0,0.0000,13.94,0
5.3,model,868520,0,0,0,0.0000,13.96,0
5.4,model,873767,0,0,0,0.0000,13.81,0
5.5,model,874085,0,0,0,0.0000,13.82,0
5.6,model,869885,0,0,0,0.0000,13.87,0
5.7,model,874926,0,0,0,0.0000,13.89,0
5.8,model,878270,0,0,0,0.0000,13.68,0
5.9,model,875220,0,0,0,0.0000,13.80,0
6.0,model,874704,0,0,0,0.0000,13.71,0
6.1,model,874145,0,0,0,0.0000,13.76,0
6.2,model,877747,0,0,0,0.0000,13.85,0
6.3,model,874315,0,0,0,0.0000,13.79,0
6.4,model,873617,0,0,0,0.0000,13.69,0
6.5,model,874924,0,0,0,0.0000,13.67,0
6.6,model,879618,0,0,0,0.0000,13.50,0
6.7,model,880337,0,0,0,0.0000,13.74,0
6.8,model,882898,0,0,0,0.0000,13.61,0
6.9,model,882857,0,0,0,0.0000,13.58,0
7.0,model,877880,0,0,0,0.0000,13.91,0
7.1,model,884054,0,0,0,0.0000,13.74,0
7.2,model,886718,0,0,0,0.0000,13.59,0
7.3,model,880459,0,0,0,0.0000,13.73,0
7.4,model,876835,0,0,0,0.0000,13.83,0
7.5,model,873276,0,0,0,0.0000,13.71,0
7.6,model,879031,0,0,0,0.0000,13.76,0
7.7,model,868195,0,0,0,0.0000,13.67,0
7.8,model,878300,0,0,0,0.0000,13.71,0
7.9,model,877647,0,0,0,0.0000,13.75,0
8.0,model,879079,0,0,0,0.0000,13.51,0
8.1,model,882563,0,0,0,0.0000,13.46,0
8.2,model,883049,0,0,0,0.0000,13.63,0
8.3,model,875973,0,0,0,0.0000,13.97,0
8.4,model,883448,0,0,0,0.0000,13.65,0
8.5,model,881330,0,0,0,0.0000,13.64,0
8.6,model,881947,0,0,0,0.0000,13.62,0
8.7,model,874624,0,0,0,0.0000,13.81,0
8.8,model,873207,0,0,0,0.0000,13.45,0
8.9,model,874779,0,0,0,0.0000,13.36,0
9.0,model,868049,0,0,0,0.0000,13.84,0
9.1,model,868506,0,0,0,0.0000,13.94,0
9.2,model,881737,0,0,0,0.0000,13.67,0
9.3,model,874188,0,0,0,0.0000,13.83,0
9.4,model,878334,0,0,0,0.0000,13.65,0
9.5,model,876215,0,0,0,0.0000,13.81,0
9.6,model,875456,0,0,0,0.0000,13.75,0
9.7,model,870495,0,0,0,0.0000,13.85,0
9.8,model,879970,0,0,0,0.0000,13.59,0
9.9,model,875795,0,0,0,0.0000,13.84,0
10.0,model,875969,0,0,0,0.0000,13.56,0
10.1,model,873842,0,0,0,0.0000,13.54,0
10.2,model,876225,0,0,0,0.0000,13.83,0
10.3,model,881072,0,0,0,0.0000,13.62,0
10.4,model,881703,0,0,0,0.0000,13.60,0
10.5,model,877535,0,0,0,0.0000,13.88,0
10.6,model,880583,0,0,0,0.0000,13.48,0
10.7,model,880484,0,0,0,0.0000,13.65,0
10.8,model,879798,0,0,0,0.0000,13.78,0
10.9,model,878709,0,0,0,0.0000,13.65,0
11.0,model,881141,0,0,0,0.0000,13.57,0
11.1,model,878324,0,0,0,0.0000,13.68,0
11.2,model,885752,0,0,0,0.0000,13.47,0
11.3,model,864612,0,0,0,0.0000,14.63,0
11.4,model,881205,0,0,0,0.0000,13.62,0
11.5,model,882038,0,0,0,0.0000,13.57,0
11.6,model,877525,0,0,0,0.0000,13.90,0
11.7,model,879361,0,0,0,0.0000,13.68,0
11.8,model,878335,0,0,0,0.0000,13.79,0
11.9,model,876182,0,0,0,0.0000,13.60,0
12.0,model,869949,0,0,0,0.0000,13.77,0
12.1,model,869858,0,0,0,0.0000,13.80,0
12.2,model,874051,0,0,0,0.0000,13.61,0
12.3,model,873813,0,0,0,0.0000,13.91,0
12.4,model,880451,0,0,0,0.0000,13.52,0
12.5,model,879641,0,0,0,0.0000,13.76,0
12.6,model,878837,0,0,0,0.0000,13.57,0
12.7,model,881942,0,0,0,0.0000,13.64,0
12.8,model,878037,0,0,0,0.0000,13.60,0
12.9,model,887919,0,0,0,0.0000,13.53,0
13.0,model,877335,0,0,0,0.0000,13.60,0
13.1,model,885170,0,0,0,0.0000,13.64,0
13.2,model,878213,0,0,0,0.0000,13.80,0
13.3,model,881160,0,0,0,0.0000,13.80,0
13.4,model,875211,0,0,0,0.0000,13.86,0
13.5,model,880347,0,0,0,0.0000,13.66,0
13.6,model,879944,0,0,0,0.0000,13.63,0
13.7,model,870190,0,0,0,0.0000,13.64,0
13.8,model,872749,0,0,0,0.0000,13.65,0
13.9,model,878723,0,0,0,0.0000,13.51,0
14.0,model,874250,0,0,0,0.0000,13.57,0
14.1,model,878534,0,0,0,0.0000,13.53,0
14.2,model,879632,0,0,0,0.0000,13.55,0
14.3,model,878111,0,0,0,0.0000,13.58,0
14.4,model,875912,0,0,0,0.0000,13.56,0
14.5,model,877138,0,0,0,0.0000,13.65,0
14.6,model,873790,0,0,0,0.0000,13.81,0
14.7,model,866229,0,0,0,0.0000,14.02,0
14.8,model,871382,0,0,0,0.0000,13.97,0
14.9,model,870388,0,0,0,0.0000,13.87,0
15.0,model,872330,0,0,0,0.0000,13.88,0
15.1,model,878437,0,0,0,0.0000,13.67,0
15.2,model,875593,0,0,0,0.0000,13.57,0
15.3,model,876452,0,0,0,0.0000,13.52,0
15.4,model,883962,0,0,0,0.0000,13.46,0
15.5,model,874382,0,0,0,0.0000,14.07,0
15.6,model,875541,0,0,0,0.0000,13.45,0
15.7,model,877555,0,0,0,0.0000,13.56,0
